"code","pairCode","name","guid","shortDescription","manufacturer","supplier","itemType","ean","defaultCategory","price","priceRatio","standardPrice","purchasePrice","currency"
"$0001",,"Suunto Core Alu Black","c5012051-d7ca-11e0-9a5c-feab5ed617ed","Hodinky, jejichž funkce pravděpodobně nevyužije každý. Jsou stvořené do přírody - umí měřit výšku, teplotu, vlhkost, tlak a mnoho dalšího.","Suunto",,"product",,,"8550,00","1",,,"CZK"
"$0004",,"Seiko Premier Kinetic","9052662c-d7ea-11e0-b9e5-639decc41417","Vynikající hodinky s kinetickým nabíjením, automatickým kalendářem a dalšími funkcemi, které vám bude každý závidět. Skvělé pro každého.","Seiko",,"product",,,"400,00","1",,,"CZK"
"$0005",,"Seiko Solar Divers","ad90214c-d7ea-11e0-b9e5-639decc41417","Vynikající hodinky jak na běžné použití, tak na potápění, které se nabíjejí jakýmkoliv světlem, díky čemuž nikdy nebudete muset měnit baterii.","Seiko",,"product",,,"599,00","1","670,00",,"CZK"
"$0006",,"Rockport Hidalgo","bb5425b1-d952-11e0-b04f-57a43310b768","Pánské boty Rockport Hidalgo jsou nesmírně univerzální, když je lze využít na běžné chození, ale díky své odolnosti vás nezklamou ani v těžším terénu.","Rockport",,"product",,"Boty a ťapky","500,00","1",,,"CZK"
"$0008",,"Storm Atlas","bdaedaff-d956-11e0-b04f-57a43310b768","Především pohodlné boty s lehce sportovním designem na běžné nošení ve městě pro každého. Stylový design a kvalitní zpracování jim získalo slušnou popularitu.","Storm",,"product",,"Boty a ťapky","1500,00","1","1500,00",,"CZK"
"9",,"Gola Classics Harrier","16a67ec6-d957-11e0-b04f-57a43310b768","Sportovní boty kombinující kůži a semiš jsou vhodné pro každého, kdo má rád tento styl obuvy a hledá především pohodlí a dlouhou životnost.","Gola",,"product",,"Boty a ťapky","2420,00","1",,"1000,00","CZK"
"$0010",,"Paul Green 1205","80c3102b-d957-11e0-b04f-57a43310b768","Pohodlné celokožené boty od populárního mnichovského designéra Paula Greena pro ty, kteří hledají stylové tenisky na běžné využití.","Paul Green",,"product",,"Boty a ťapky","850,00","1",,,"CZK"
"$0011",,"Fly London Seven","d7282b43-d957-11e0-b04f-57a43310b768","Tyto moderní boty na běžné chození od známého výrobce uspokojí každého, kdo hledá spolehlivou koženou obuv nabízející maximální pohodlí.","Fly London",,"product",,"Boty a ťapky","750,00","1","900,00",,"CZK"
"$0014",,"Elise Oversized Tote","e5dc3f91-d965-11e0-b04f-57a43310b768","<p>Pokud hledáte kabelku, která pobere všechny vaše věci a ještě bude vypadat stylově, tento model pro vás bude ten pravý.</p>","Elise",,"product",,"Pro radost > Kabelky a tašky","599,00","1","650,00",,"CZK"
"15/CER","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/CER2","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/CER3","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/CER4","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/FIA","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/FIA2","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/FIA3","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/ORA","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/ORA2","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/ORA3","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
"15/ZEL","1","Jamie Buckle Satchel","356eb81e-d966-11e0-b04f-57a43310b768","<p>Designově zajímavá kabelka lehce připomínající obálku z dílny Jamie Buckle musí zaujmout každou ženu, která požaduje praktičnost, ale chce i zaujmout.</p>","Jamie",,"product",,"Pro radost","699,00","1","749,00","350,00","CZK"
